k;N;Ca;P;Mg;class
354.49;372.28;146.44;53.20;67.61;Ruim
233.08;16.69;175.89;27.73;91.40;Ruim
376.27;432.51;134.42;84.05;47.11;Ruim
450.68;327.03;13.49;95.10;62.88;Pessimo
254.56;213.75;121.19;90.55;95.73;Ruim
443.82;446.13;129.35;45.58;76.83;Ruim
23.35;175.03;164.79;77.82;77.87;Ruim
382.30;40.92;161.66;14.93;16.17;Ruim
396.84;71.94;167.60;56.16;30.48;Ruim
17.66;461.05;28.55;37.60;69.04;Ruim
496.11;176.83;115.65;69.28;94.61;Ruim
476.17;208.12;111.20;94.17;60.57;Ruim
132.42;497.76;102.60;55.56;47.75;Bom
422.04;294.01;4.92;46.02;53.42;Ruim
355.75;315.03;71.37;4.50;34.11;Ruim
80.18;286.97;15.41;1.53;61.19;Ruim
329.82;281.63;70.67;14.34;14.55;Ruim
419.71;65.49;48.18;51.97;41.73;Ruim
437.41;220.06;167.05;0.01;80.52;Ruim
45.81;232.73;168.24;14.67;81.23;Ruim
413.53;410.37;11.17;37.11;39.62;Ruim
395.88;245.09;100.09;54.73;2.19;Ruim
77.32;10.52;68.28;82.74;91.65;Ruim
189.21;114.31;76.83;18.44;45.92;Bom
117.09;307.29;168.53;88.94;73.94;Ruim
367.74;73.63;30.06;3.83;65.70;Ruim
250.29;431.19;140.72;54.59;72.24;Ruim
42.94;450.05;88.30;85.98;91.44;Ruim
235.49;163.45;136.55;76.17;56.18;Bom
412.74;37.54;7.27;39.56;90.98;Ruim
328.22;80.98;76.43;80.73;23.06;Ruim
407.37;433.26;6.99;36.01;47.91;Ruim
442.11;245.26;94.11;54.46;36.93;Ruim
226.06;28.13;129.24;6.55;1.07;Ruim
67.37;188.64;135.78;39.19;50.75;Bom
165.05;245.12;191.70;18.77;69.89;Bom
460.81;98.90;69.12;94.92;89.82;Ruim
355.36;444.37;119.16;82.66;25.67;Ruim
412.66;468.75;147.32;21.96;57.28;Ruim
89.67;456.74;136.75;78.87;33.05;Ruim
294.85;169.13;116.10;2.94;3.63;Ruim
123.98;268.97;119.38;62.70;93.24;Bom
215.18;108.46;171.48;7.88;38.09;Ruim
246.61;432.80;29.47;70.63;44.05;Ruim
298.57;445.80;130.12;53.89;4.37;Ruim
342.32;456.27;181.95;12.25;86.15;Pessimo
124.16;243.93;20.80;23.16;99.31;Bom
398.38;291.65;113.06;82.96;34.49;Ruim
21.13;75.18;19.26;55.44;71.49;Ruim
14.47;162.35;185.50;86.37;40.12;Ruim
132.66;224.54;178.60;47.52;55.19;Bom
401.76;179.78;140.98;59.56;58.31;Ruim
177.11;160.22;26.33;8.97;8.93;Bom
431.49;365.56;73.95;96.19;12.66;Ruim
459.14;319.02;139.11;25.05;33.34;Ruim
478.47;470.33;2.17;17.26;82.83;Ruim
334.19;143.19;121.65;59.40;18.70;Ruim
95.18;289.12;125.98;71.04;59.52;Ruim
268.26;309.03;187.79;2.86;60.58;Pessimo
41.25;96.87;88.07;55.05;15.82;Bom
433.30;367.62;196.47;7.87;75.94;Pessimo
379.85;300.98;104.57;70.81;8.61;Ruim
50.33;461.76;106.65;48.54;36.72;Ruim
195.32;149.32;161.55;78.74;82.14;Bom
246.35;376.82;93.58;30.22;29.29;Ruim
294.93;123.66;76.46;76.43;1.00;Bom
156.47;68.06;5.54;0.82;53.35;Bom
416.57;2.72;36.91;23.14;42.10;Ruim
367.37;37.15;33.33;97.40;12.49;Ruim
18.28;340.40;193.27;68.10;92.42;Pessimo
340.81;221.00;57.22;82.47;60.44;Ruim
231.90;155.86;131.21;37.39;82.34;Bom
268.72;17.78;189.97;46.33;7.53;Ruim
223.65;13.13;129.16;79.69;49.44;Ruim
499.46;292.50;134.24;63.12;89.07;Pessimo
328.29;452.28;112.51;0.27;36.93;Ruim
227.66;414.52;113.22;58.14;84.10;Ruim
359.58;96.44;59.23;69.96;64.38;Ruim
441.12;237.35;35.54;78.22;88.49;Ruim
89.73;250.40;174.70;66.23;23.24;Ruim
170.44;351.85;81.81;98.31;26.77;Bom
287.40;38.78;10.21;4.05;35.63;Ruim
108.23;200.46;188.90;35.99;30.41;Bom
69.64;388.03;129.33;13.98;65.90;Ruim
235.73;207.58;90.53;39.66;48.78;Bom
294.33;290.85;177.36;42.58;10.88;Ruim
469.14;466.02;113.71;91.38;97.32;Ruim
25.05;495.22;14.88;57.72;96.61;Ruim
224.65;317.99;167.36;38.33;31.32;Ruim
228.11;151.24;74.54;64.31;74.11;Bom
135.28;430.67;58.54;0.38;91.33;Bom
343.28;191.58;174.55;99.64;99.73;Ruim
298.88;457.83;101.04;7.65;27.09;Ruim
365.55;58.05;92.79;81.76;24.99;Ruim
313.31;313.31;158.98;81.19;11.16;Pessimo
136.55;464.98;150.47;3.97;31.27;Bom
158.41;96.44;66.14;0.88;59.21;Bom
131.81;35.15;117.52;40.76;2.70;Bom
65.05;421.50;172.48;34.73;67.36;Ruim
499.21;60.35;130.67;19.24;56.07;Ruim
144.12;453.60;176.51;55.55;24.61;Bom
464.09;153.29;105.61;3.10;34.78;Bom
386.72;212.31;169.05;75.81;58.13;Ruim
227.46;426.37;41.74;46.22;71.12;Ruim
191.29;23.36;29.59;20.47;72.51;Ruim
174.18;87.57;132.51;79.44;3.80;Bom
314.85;216.16;155.26;89.60;20.34;Ruim
130.21;300.73;186.38;52.55;8.09;Bom
155.27;81.36;10.70;39.39;26.90;Bom
278.20;162.67;70.49;19.93;80.95;Bom
287.12;5.92;193.94;57.42;91.49;Ruim
358.54;270.16;198.42;20.19;20.81;Ruim
38.36;324.40;80.26;2.03;14.89;Ruim
79.32;230.21;185.39;92.62;62.91;Ruim
431.77;328.77;198.39;74.38;91.50;Pessimo
466.56;159.57;106.32;39.89;34.83;Bom
189.22;351.78;125.28;79.83;34.79;Ruim
218.03;385.49;100.16;26.27;22.39;Ruim
163.07;232.40;2.90;44.91;97.36;Bom
43.31;256.87;103.94;6.21;58.09;Ruim
77.15;146.80;162.23;62.07;60.99;Bom
445.63;158.22;53.90;37.43;81.08;Bom
469.46;490.63;128.33;78.79;32.12;Ruim
154.99;370.30;111.05;28.25;33.50;Bom
274.43;447.54;40.69;71.73;33.04;Ruim
176.34;29.18;117.29;28.81;65.78;Bom
161.32;202.35;31.07;64.13;52.89;Bom
482.70;192.20;198.28;24.90;22.77;Ruim
395.13;101.02;194.75;32.22;98.32;Ruim
477.16;386.11;26.85;64.08;19.52;Ruim
185.36;396.39;61.00;57.76;55.55;Bom
266.28;72.14;20.89;80.30;90.65;Ruim
3.43;16.47;87.47;78.65;93.77;Ruim
114.87;203.85;125.52;29.65;16.95;Ruim
44.22;277.04;171.71;38.54;19.39;Ruim
106.56;361.35;72.36;83.56;10.97;Ruim
452.92;297.68;116.21;32.18;40.46;Ruim
136.12;353.78;173.51;34.25;23.61;Bom
114.21;369.38;24.28;93.82;85.12;Ruim
156.64;221.18;24.18;21.01;98.76;Bom
141.60;322.59;98.32;21.85;73.29;Bom
71.37;232.56;94.95;96.77;26.66;Ruim
468.60;83.59;20.03;81.73;39.74;Ruim
283.52;316.57;89.50;38.02;71.56;Ruim
163.44;212.29;126.88;62.23;65.99;Bom
457.13;63.55;85.75;98.81;36.39;Bom
437.66;419.92;20.09;87.54;33.55;Ruim
200.96;157.28;178.76;21.84;89.95;Bom
403.96;355.38;90.62;92.24;55.16;Ruim
176.99;74.00;5.04;67.72;9.21;Bom
170.59;314.70;183.61;44.10;62.47;Bom
137.59;417.02;101.70;35.65;20.79;Bom
432.84;128.09;45.86;27.10;18.60;Bom
310.12;378.75;140.31;79.45;53.88;Ruim
487.87;490.73;17.93;34.27;40.66;Ruim
118.79;107.49;71.17;88.18;40.13;Bom
374.72;130.76;199.04;84.75;25.98;Ruim
213.69;48.20;46.30;40.43;90.14;Ruim
108.74;333.92;40.81;98.58;67.85;Ruim
491.65;31.33;83.66;25.36;0.07;Ruim
343.06;472.90;90.69;43.36;56.13;Ruim
353.53;250.49;103.52;58.23;69.89;Ruim
47.01;125.74;192.38;14.55;19.74;Ruim
150.52;367.95;142.13;88.94;85.03;Ruim
37.64;275.17;159.47;32.22;99.55;Ruim
130.55;441.96;113.13;16.96;28.56;Bom
32.00;390.32;188.62;92.30;85.03;Pessimo
57.47;280.19;26.72;26.63;31.96;Ruim
38.71;411.29;149.56;51.57;39.48;Ruim
350.61;137.03;67.25;76.10;54.61;Bom
27.49;364.38;186.28;51.69;62.66;Ruim
266.01;345.64;110.57;71.37;63.74;Ruim
368.93;352.69;8.38;57.53;64.02;Ruim
72.71;207.01;26.64;78.90;26.34;Ruim
98.00;140.89;136.53;74.74;19.04;Bom
389.77;461.97;97.63;11.11;90.55;Ruim
481.55;151.36;164.35;86.46;62.42;Ruim
339.87;324.74;51.03;88.27;39.45;Ruim
115.09;6.98;15.59;63.22;58.79;Ruim
292.32;185.33;188.89;29.54;78.95;Ruim
122.78;128.81;141.52;41.09;42.90;Ideal
67.77;224.86;160.04;78.48;9.08;Ruim
353.19;11.12;30.12;67.54;79.68;Pessimo
489.80;268.83;65.22;17.24;27.50;Ruim
118.55;64.08;17.25;75.31;86.16;Ruim
47.64;405.23;155.48;18.27;24.11;Ruim
248.29;272.85;58.79;49.47;91.38;Ruim
393.57;262.08;7.43;78.49;81.81;Pessimo
354.90;13.87;144.76;80.89;1.64;Pessimo
407.57;310.24;69.02;53.34;31.83;Ruim
309.21;478.54;57.76;48.76;29.68;Ruim
290.65;1.38;131.03;63.72;41.14;Ruim
335.25;96.46;109.00;75.06;62.20;Ruim
124.51;399.40;103.14;99.97;64.98;Bom
449.27;85.59;115.24;35.07;34.34;Bom
43.04;244.12;19.82;25.32;93.25;Ruim
397.15;116.23;40.05;78.54;4.20;Ruim
82.36;13.66;186.56;3.45;79.99;Ruim
83.31;320.87;174.59;9.32;35.34;Ruim
96.18;278.55;156.27;6.90;46.48;Ruim
75.58;109.13;43.67;19.76;25.89;Bom
497.48;448.38;69.45;11.04;51.88;Ruim
264.73;217.62;105.37;80.98;13.61;Ruim
86.48;217.34;160.69;14.28;6.31;Ruim
93.08;325.40;184.62;78.42;76.64;Ruim
70.47;318.45;190.52;58.37;32.51;Ruim
432.24;39.54;40.62;44.25;66.95;Ruim
225.19;354.84;106.78;22.52;17.55;Ruim
338.78;212.86;161.13;12.82;55.30;Ruim
137.56;260.56;31.01;20.19;88.81;Bom
276.21;36.39;133.33;46.86;2.03;Ruim
38.76;236.24;18.62;22.84;30.90;Ruim
445.92;74.32;195.62;21.31;98.66;Ruim
108.76;25.43;136.61;22.06;70.13;Ruim
491.13;212.42;114.46;59.87;56.52;Ruim
127.46;420.64;8.42;89.25;2.33;Ruim
107.92;395.88;104.21;31.92;26.27;Bom
244.23;91.56;47.30;76.62;88.84;Ruim
392.88;110.26;12.42;52.17;54.13;Ruim
187.96;387.64;130.30;94.54;8.08;Ruim
175.41;240.18;79.44;13.91;95.40;Bom
491.05;23.05;42.07;29.48;3.07;Ruim
374.63;124.93;12.14;22.63;18.68;Ruim
89.79;262.93;136.15;70.00;68.26;Ruim
157.89;247.04;174.28;12.05;44.11;Bom
424.86;73.51;63.99;87.26;56.18;Ruim
475.10;194.60;186.25;10.33;45.96;Ruim
155.29;92.14;183.58;8.82;18.68;Bom
419.92;179.04;2.02;23.85;30.10;Bom
145.10;173.72;198.54;1.93;72.34;Bom
299.04;170.82;107.02;56.59;75.57;Bom
131.40;46.92;60.26;94.29;60.48;Bom
117.74;331.69;165.90;10.77;11.89;Ruim
127.27;381.47;112.32;15.66;16.32;Bom
74.59;221.93;143.67;17.44;72.12;Ruim
402.60;79.85;38.66;33.75;40.96;Bom
16.34;357.77;34.34;53.17;73.78;Ruim
311.10;429.14;124.44;72.86;17.13;Ruim
232.16;154.72;26.49;17.19;11.31;Bom
62.41;202.04;86.82;31.02;93.70;Bom
180.78;50.19;25.37;68.11;87.56;Ruim
22.00;170.43;169.17;3.31;73.60;Ruim
223.78;364.43;145.49;82.67;6.56;Ruim
311.59;123.51;103.85;58.98;61.26;Bom
8.39;180.93;185.93;15.82;17.45;Ruim
24.09;244.53;143.67;34.78;60.29;Ruim
345.14;174.94;53.88;84.75;87.14;Ruim
47.17;54.90;147.15;11.53;33.07;Ruim
464.52;388.48;135.69;57.15;32.87;Ruim
63.49;371.72;166.29;60.08;10.91;Ruim
499.32;212.81;186.20;86.86;20.20;Ruim
432.24;182.61;98.42;32.59;82.04;Ruim
308.62;393.21;63.05;46.93;50.02;Ruim
261.45;28.86;150.38;27.46;12.63;Ruim
212.36;270.39;166.00;49.34;37.83;Ruim
123.55;188.00;175.55;73.93;73.80;Bom
334.94;179.35;68.24;8.69;62.10;Bom
334.75;241.13;124.05;36.41;0.45;Ruim
109.14;295.28;133.57;90.49;63.47;Ruim
464.63;15.01;119.21;91.19;92.63;Ruim
132.98;157.69;58.50;26.26;93.86;Ideal
70.21;29.06;114.52;78.13;46.20;Ruim
412.85;149.42;195.62;45.37;64.27;Bom
113.66;76.24;67.34;94.07;61.17;Bom
435.27;268.15;81.80;15.46;77.44;Ruim
440.94;441.52;56.60;69.09;87.51;Ruim
452.81;23.59;103.96;47.64;20.21;Ruim
62.71;43.77;179.97;16.51;84.46;Ruim
249.19;339.29;70.99;93.46;46.52;Ruim
448.89;172.02;112.94;42.40;13.24;Bom
336.81;89.43;101.71;74.31;74.06;Ruim
489.45;262.92;154.72;15.31;42.45;Ruim
87.96;384.15;188.75;41.07;42.26;Ruim
261.87;54.92;96.23;49.50;66.82;Ruim
207.68;357.75;7.46;28.19;28.27;Ruim
423.07;312.59;72.60;98.98;81.85;Ruim
284.98;476.67;161.73;48.12;86.40;Ruim
325.74;272.77;166.65;63.29;94.48;Pessimo
300.43;438.56;135.06;49.90;75.06;Ruim
112.36;156.17;51.89;11.24;73.93;Bom
168.25;87.16;164.16;21.95;37.52;Bom
26.42;179.96;196.49;83.65;42.28;Ruim
330.65;81.43;35.98;44.44;57.56;Ruim
117.78;136.39;106.93;79.38;0.84;Bom
346.62;384.57;76.27;69.33;17.74;Ruim
466.29;162.93;189.34;81.81;61.09;Ruim
217.38;338.15;25.72;36.05;16.14;Ruim
375.82;279.00;36.52;83.27;5.04;Ruim
18.98;31.60;196.45;56.20;22.60;Ruim
182.00;220.27;117.04;60.56;89.18;Ruim
334.06;399.53;10.22;4.60;11.19;Pessimo
8.64;82.83;104.74;91.48;97.92;Ruim
97.00;195.00;199.82;45.04;8.28;Ruim
449.14;212.07;102.14;95.34;77.25;Ruim
127.86;320.42;149.90;54.34;4.99;Bom
204.22;55.63;114.64;34.38;48.65;Ruim
322.58;247.09;178.86;70.02;78.18;Pessimo
292.40;334.07;30.39;87.73;46.15;Ruim
272.13;330.62;136.22;7.83;15.22;Ruim
498.83;187.25;57.00;7.37;85.16;Ruim
395.08;491.57;86.44;61.36;27.90;Ruim
251.77;101.52;96.94;40.84;89.72;Ruim
221.46;27.00;10.29;69.14;36.92;Ruim
20.08;117.42;79.93;63.31;52.38;Ruim
248.33;170.56;61.45;60.90;14.88;Bom
269.92;405.85;100.72;90.83;92.12;Ruim
11.91;474.13;196.44;76.26;41.55;Ruim
31.97;363.66;98.98;24.53;46.79;Ruim
273.86;49.39;105.99;61.43;72.39;Ruim
163.58;493.18;58.69;70.11;27.30;Bom
494.85;421.12;168.22;92.59;38.66;Ruim
22.44;80.03;167.54;97.11;22.77;Ruim
298.92;476.48;121.32;72.38;43.05;Ruim
202.15;254.14;134.35;69.64;24.25;Ruim
301.57;56.27;30.32;86.01;61.46;Pessimo
313.97;0.05;124.05;49.96;13.83;Ruim
363.72;311.60;49.61;78.96;7.47;Ruim
387.87;470.65;191.22;0.40;53.93;Ruim
284.49;411.58;189.06;77.19;18.04;Ruim
141.90;416.73;84.83;39.66;89.35;Bom
446.13;56.97;19.28;95.74;29.80;Ruim
266.15;69.50;45.92;17.47;76.18;Ruim
360.49;348.20;151.65;17.83;82.37;Ruim
464.44;69.58;170.78;81.45;89.25;Ruim
375.75;487.54;33.68;3.96;19.92;Ruim
278.47;18.09;7.89;97.20;93.52;Pessimo
67.70;178.63;15.36;97.74;22.89;Bom
457.66;71.24;178.48;49.38;93.22;Ruim
173.42;399.21;172.77;60.04;1.63;Bom
280.81;22.75;121.64;58.72;82.00;Ruim
32.54;394.28;48.22;86.25;44.85;Ruim
6.59;38.72;193.28;20.26;9.49;Ruim
429.06;470.64;124.27;92.40;86.71;Pessimo
32.25;371.38;69.94;79.31;10.59;Ruim
20.25;135.48;151.86;61.74;69.79;Ruim
2.19;252.21;78.32;14.32;24.26;Ruim
109.93;230.88;1.91;30.19;66.16;Ruim
203.24;194.00;74.56;95.08;0.94;Bom
300.80;447.20;143.10;94.24;49.64;Ruim
392.39;30.19;76.83;5.52;91.90;Ruim
269.86;130.85;73.50;79.00;96.70;Bom
192.93;39.10;142.72;92.37;76.49;Ruim
400.17;301.94;43.97;84.68;79.20;Ruim
203.38;117.80;77.65;80.70;81.68;Bom
107.54;491.09;133.11;12.15;15.42;Ruim
136.07;73.20;12.22;9.40;30.52;Bom
158.55;67.97;19.99;98.59;98.49;Bom
70.06;358.53;72.13;30.27;75.19;Bom
249.61;319.60;39.80;45.58;78.15;Ruim
290.02;143.09;140.01;13.10;55.93;Ruim
280.37;436.66;31.18;23.87;21.90;Ruim
243.37;477.38;58.34;60.38;87.41;Ruim
30.14;253.46;8.85;22.89;69.49;Ruim
246.47;267.05;15.71;61.34;15.98;Ruim
399.71;209.68;82.66;52.73;67.53;Ruim
249.24;183.20;23.34;1.97;52.41;Ruim
497.90;209.33;4.11;53.67;35.48;Ruim
312.05;237.01;165.95;80.38;74.74;Ruim
420.34;460.87;54.33;18.45;0.80;Ruim
405.00;176.39;111.99;6.92;11.05;Ruim
221.01;361.49;57.50;33.17;95.28;Ruim
184.69;417.54;92.17;2.62;24.70;Ruim
237.65;343.27;191.75;45.63;68.40;Ruim
164.20;190.99;165.68;93.67;63.86;Bom
195.40;40.57;174.98;69.87;80.02;Ruim
430.65;448.00;172.49;64.68;29.99;Ruim
319.16;94.64;98.09;95.61;83.08;Ruim
126.58;40.66;1.38;6.81;41.49;Bom
249.51;471.02;132.08;1.74;86.53;Pessimo
453.46;254.01;148.44;40.68;34.35;Ruim
303.92;469.61;67.85;11.59;86.88;Ruim
251.14;123.62;166.01;93.86;97.56;Ruim
173.12;286.65;53.94;65.13;7.14;Bom
445.59;251.05;144.47;94.93;52.67;Ruim
395.87;320.13;60.76;72.52;97.58;Ruim
190.26;478.24;137.59;18.93;73.80;Ruim
179.25;29.74;113.11;53.99;93.45;Bom
442.56;121.93;104.02;63.90;69.35;Ruim
312.29;306.93;10.34;21.99;68.84;Ruim
42.61;469.90;64.88;5.70;69.16;Ruim
204.06;492.65;140.71;56.55;3.05;Ruim
477.45;409.51;153.33;0.24;60.80;Pessimo
473.30;13.20;28.58;21.00;18.22;Ruim
117.63;139.50;169.51;27.38;67.52;Bom
30.90;428.87;29.10;24.88;64.64;Ruim
367.98;201.94;139.76;40.28;97.42;Ruim
485.83;24.27;163.54;81.73;86.94;Pessimo
201.17;166.00;95.95;12.54;57.50;Bom
324.88;282.15;150.87;10.70;10.09;Pessimo
34.81;296.63;76.43;33.64;72.92;Ruim
124.54;0.42;174.01;11.64;42.49;Bom
441.93;368.95;43.17;66.44;77.06;Ruim
431.76;120.17;72.74;52.78;89.85;Ruim
199.34;363.88;172.99;5.68;59.19;Ruim
440.86;341.16;51.68;19.95;85.38;Ruim
390.76;123.08;134.75;90.06;39.36;Ruim
319.77;439.05;0.77;49.19;14.48;Ruim
441.68;468.26;21.70;89.72;1.55;Pessimo
402.48;400.19;48.15;62.21;82.74;Ruim
9.58;261.49;70.32;38.01;88.52;Ruim
133.02;228.10;26.20;91.76;77.07;Bom
282.38;406.53;5.87;98.32;74.86;Pessimo
49.41;387.76;77.99;4.63;54.23;Ruim
364.92;332.98;26.25;74.73;69.89;Pessimo
192.61;365.58;48.34;29.57;48.55;Ruim
439.90;101.52;31.27;4.32;28.75;Ruim
61.23;231.15;110.89;24.59;97.72;Ruim
402.04;89.14;130.75;6.06;67.85;Ruim
10.46;227.98;196.70;40.42;14.18;Ruim
372.61;174.40;100.83;42.93;65.26;Bom
328.61;235.18;111.24;27.10;60.55;Ruim
56.06;86.16;197.44;68.10;91.63;Ruim
316.84;218.83;149.15;64.12;2.59;Ruim
181.86;491.80;85.47;12.32;54.62;Ruim
316.55;87.23;103.39;73.84;73.63;Ruim
60.42;419.35;3.18;84.27;85.40;Pessimo
96.42;25.14;79.08;82.11;12.21;Ruim
34.06;158.29;182.43;88.66;51.63;Ruim
263.91;479.24;89.41;28.29;68.22;Ruim
65.12;46.12;62.91;72.61;42.05;Ruim
179.52;25.10;150.95;61.34;76.67;Ruim
254.77;425.44;167.39;97.67;77.27;Pessimo
493.76;209.51;0.56;67.54;19.08;Ruim
309.40;152.54;67.43;34.45;77.62;Bom
179.24;341.48;102.75;94.62;26.59;Bom
125.44;206.76;38.08;92.26;45.51;Bom
100.18;449.64;63.35;27.49;24.43;Bom
421.26;119.22;27.17;17.83;73.49;Ruim
457.92;184.95;154.14;42.20;31.11;Ruim
78.06;391.84;39.40;66.13;2.15;Ruim
204.18;87.55;11.91;74.43;71.02;Ruim
194.45;492.72;165.98;32.60;47.29;Ruim
249.84;21.90;4.01;11.05;90.29;Pessimo
207.07;392.90;67.96;71.22;68.77;Ruim
46.77;399.12;82.34;52.55;86.91;Ruim
172.13;325.04;179.63;37.82;72.97;Bom
188.20;407.49;4.55;88.25;20.07;Ruim
78.28;147.93;49.50;24.78;92.00;Bom
363.26;177.47;10.42;58.57;5.53;Ruim
25.39;392.36;159.24;59.30;38.79;Ruim
420.19;427.36;130.13;3.80;97.65;Pessimo
471.46;10.97;25.30;67.15;53.11;Ruim
443.51;281.45;51.65;48.05;61.94;Ruim
304.06;406.21;47.73;88.92;56.83;Ruim
327.84;207.66;70.62;50.31;8.97;Ruim
424.54;101.88;95.55;74.36;71.33;Ruim
200.21;382.89;112.46;21.65;19.63;Ruim
311.67;101.20;55.26;30.90;76.37;Ruim
199.68;18.78;39.82;47.88;32.44;Ruim
321.65;383.79;31.30;65.89;33.09;Ruim
271.58;106.48;183.54;15.43;7.96;Ruim
450.86;369.80;19.81;97.15;85.56;Pessimo
92.15;395.68;38.56;55.51;47.28;Ruim
5.25;135.86;58.28;27.31;24.48;Bom
393.03;494.06;97.68;73.49;53.36;Ruim
213.42;404.72;197.61;92.60;68.89;Ruim
307.48;187.83;190.88;27.91;42.71;Ruim
382.48;110.53;113.52;93.74;49.67;Ruim
200.49;278.29;141.52;64.80;85.17;Ruim
274.61;117.53;160.41;93.26;44.59;Ruim
37.38;6.17;168.44;11.46;36.05;Ruim
479.44;44.46;41.93;7.72;62.13;Ruim
415.79;435.99;199.77;0.47;8.33;Pessimo
53.54;58.87;15.53;34.49;12.59;Ruim
87.15;37.60;96.86;54.82;45.24;Ruim
296.10;104.25;101.25;47.37;27.85;Ruim
217.61;202.12;120.96;17.51;26.76;Bom
130.57;234.47;68.69;17.63;23.63;Ideal
221.91;309.57;55.87;12.85;74.74;Ruim
265.67;236.88;179.37;31.19;48.33;Ruim
266.74;389.16;110.63;44.11;29.68;Ruim
44.52;132.89;78.44;62.73;60.16;Bom
85.45;145.73;154.62;4.14;75.98;Bom
351.13;227.02;129.42;1.63;44.29;Ruim
376.63;192.36;126.48;61.71;9.89;Ruim
454.01;88.00;76.18;15.38;44.67;Ruim
204.64;143.11;86.68;43.00;31.41;Ideal
31.93;48.29;1.33;4.87;7.69;Pessimo
478.46;317.46;53.64;17.77;88.11;Ruim
172.28;270.50;8.94;46.91;58.84;Bom
111.28;334.08;119.42;3.13;17.98;Ruim
21.37;350.79;164.51;43.30;19.79;Ruim
195.60;124.07;88.92;40.16;96.10;Ideal
434.79;170.04;71.02;10.80;51.92;Bom
120.42;160.06;178.51;42.67;8.22;Bom
212.29;416.68;128.68;1.88;8.11;Ruim
14.66;213.80;81.64;78.27;54.98;Ruim
138.18;87.93;98.73;7.74;67.58;Bom
74.01;105.68;22.50;83.91;95.64;Ruim
240.77;142.81;100.37;78.86;40.72;Bom
212.71;95.28;160.42;40.53;9.02;Ruim
223.75;344.90;96.95;36.18;22.53;Ruim
243.79;463.88;15.78;35.27;7.45;Ruim
321.63;280.82;165.42;54.46;32.50;Ruim
297.91;152.55;1.60;13.37;49.90;Ruim
127.47;397.02;99.53;32.80;82.03;Bom
368.62;104.80;196.99;40.99;19.02;Ruim
289.53;384.62;43.91;89.18;19.18;Ruim
415.54;163.30;194.22;66.22;2.30;Ruim
41.27;119.27;196.23;15.69;91.26;Ruim
32.80;413.48;189.92;55.18;87.57;Ruim
201.64;420.14;114.91;53.33;17.97;Ruim
152.29;249.64;197.75;20.27;92.11;Bom
13.71;424.36;9.67;47.35;45.89;Ruim
219.43;51.36;180.66;24.86;37.93;Ruim
443.83;466.54;128.64;5.55;89.81;Pessimo
96.37;456.02;176.37;72.55;78.86;Ruim
425.83;258.00;37.14;50.35;89.99;Ruim
96.78;357.41;123.93;45.64;69.07;Ruim
259.08;241.54;187.70;7.51;8.05;Pessimo
158.93;21.77;89.92;81.57;30.84;Bom
399.69;417.37;48.92;87.30;35.11;Ruim
326.20;194.80;56.38;91.17;87.85;Ruim
132.95;482.70;23.89;33.86;58.60;Bom
139.80;476.52;172.70;27.16;67.44;Bom
315.61;206.34;52.62;17.50;55.10;Ruim
3.63;404.73;29.89;40.54;80.49;Ruim
270.44;376.83;48.87;58.11;74.49;Ruim
